Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,ACS18_5yr_B15003001,ACS18_5yr_B15003002,ACS18_5yr_B15003003,ACS18_5yr_B15003004,ACS18_5yr_B15003005,ACS18_5yr_B15003006,ACS18_5yr_B15003007,ACS18_5yr_B15003008,ACS18_5yr_B15003009,ACS18_5yr_B15003010,ACS18_5yr_B15003011,ACS18_5yr_B15003012,ACS18_5yr_B15003013,ACS18_5yr_B15003014,ACS18_5yr_B15003015,ACS18_5yr_B15003016,ACS18_5yr_B15003017,ACS18_5yr_B15003018,ACS18_5yr_B15003019,ACS18_5yr_B15003020,ACS18_5yr_B15003021,ACS18_5yr_B15003022,ACS18_5yr_B15003023,ACS18_5yr_B15003024,ACS18_5yr_B15003025,ACS18_5yr_B15003001s,ACS18_5yr_B15003002s,ACS18_5yr_B15003003s,ACS18_5yr_B15003004s,ACS18_5yr_B15003005s,ACS18_5yr_B15003006s,ACS18_5yr_B15003007s,ACS18_5yr_B15003008s,ACS18_5yr_B15003009s,ACS18_5yr_B15003010s,ACS18_5yr_B15003011s,ACS18_5yr_B15003012s,ACS18_5yr_B15003013s,ACS18_5yr_B15003014s,ACS18_5yr_B15003015s,ACS18_5yr_B15003016s,ACS18_5yr_B15003017s,ACS18_5yr_B15003018s,ACS18_5yr_B15003019s,ACS18_5yr_B15003020s,ACS18_5yr_B15003021s,ACS18_5yr_B15003022s,ACS18_5yr_B15003023s,ACS18_5yr_B15003024s,ACS18_5yr_B15003025s
"01021","05000US01021","Chilton County","Chilton County, Alabama","al","050","00","ACSSF","0000023",,,,,"01","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29793,555,0,15,12,38,70,30,22,178,155,508,1029,881,1132,677,10940,2185,1500,3557,2090,2728,1120,267,104,153.3333,92.12122,15.15152,15.15152,10.30303,27.87879,43.63636,24.84848,16.9697,55.15152,54.54546,106.0606,170.303,133.3333,167.2727,122.4242,509.697,243.6364,149.697,294.5454,179.3939,221.8182,147.8788,60.60606,61.81818
"01023","05000US01023","Choctaw County","Choctaw County, Alabama","al","050","00","ACSSF","0000024",,,,,"01","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9436,102,0,0,0,0,7,31,21,61,58,232,290,251,425,276,2999,607,631,1193,1027,770,376,38,41,49.09091,35.15152,11.51515,11.51515,11.51515,11.51515,6.060606,17.57576,13.93939,24.24242,23.63636,52.72727,55.75758,55.15152,64.84849,60,155.7576,92.72727,84.24242,98.18182,118.1818,108.4848,71.51515,17.57576,19.39394
"01025","05000US01025","Clarke County","Clarke County, Alabama","al","050","00","ACSSF","0000025",,,,,"01","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16870,197,5,0,0,47,0,52,77,133,126,268,420,678,634,538,6429,943,787,2104,1314,1342,599,99,78,12.12121,67.27273,4.242424,13.33333,13.33333,36.36364,13.33333,29.09091,38.18182,50.30303,40.60606,77.57576,86.06061,135.1515,92.12122,96.36364,274.5454,136.9697,103.0303,153.3333,133.3333,112.1212,93.93939,29.69697,26.66667
"01027","05000US01027","Clay County","Clay County, Alabama","al","050","00","ACSSF","0000026",,,,,"01","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9285,124,3,0,0,50,27,0,100,102,198,426,342,521,206,176,2980,386,441,1366,893,510,354,58,22,94.54546,47.87879,4.242424,11.51515,11.51515,35.15152,29.69697,11.51515,53.33333,38.18182,58.18182,106.0606,74.54546,90.30303,46.66667,56.9697,182.4242,72.12122,77.57576,146.6667,103.6364,90.30303,67.87878,23.63636,20.60606
"01029","05000US01029","Cleburne County","Cleburne County, Alabama","al","050","00","ACSSF","0000027",,,,,"01","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10445,165,0,0,7,0,47,33,81,96,90,227,438,495,522,163,3290,845,767,1262,489,927,335,130,36,38.18182,53.93939,11.51515,11.51515,6.666667,11.51515,30.90909,22.42424,36.36364,40.60606,30.90909,56.9697,73.33334,67.87878,91.51515,38.18182,192.7273,90.90909,95.15151,126.6667,73.93939,115.7576,68.48485,50.90909,20.60606
"01031","05000US01031","Coffee County","Coffee County, Alabama","al","050","00","ACSSF","0000028",,,,,"01","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34912,411,0,0,0,23,31,25,67,184,281,495,824,953,840,699,7941,1782,2263,5856,4062,5439,2225,310,201,69.69697,66.06061,16.9697,16.9697,16.9697,17.57576,9.69697,17.57576,39.39394,47.87879,53.33333,71.51515,79.39394,128.4848,106.0606,93.93939,289.0909,143.6364,161.2121,238.7879,224.8485,246.6667,158.7879,54.54546,49.69697
"01033","05000US01033","Colbert County","Colbert County, Alabama","al","050","00","ACSSF","0000029",,,,,"01","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38638,394,27,0,0,14,66,9,88,250,362,647,1003,1262,1196,698,11394,2533,2185,6426,2848,4573,2141,381,141,51.51515,87.27273,19.39394,16.9697,16.9697,10.30303,50.90909,8.484848,41.21212,60,62.42424,93.33334,133.3333,156.9697,130.303,97.57576,455.1515,220.6061,164.2424,330.303,204.8485,289.0909,224.8485,58.78788,34.54546
"01035","05000US01035","Conecuh County","Conecuh County, Alabama","al","050","00","ACSSF","0000030",,,,,"01","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8848,205,0,0,0,0,30,0,7,70,96,209,170,221,480,215,3752,563,317,841,723,632,233,29,55,68.48485,64.84849,11.51515,11.51515,11.51515,11.51515,25.45455,11.51515,7.878788,40,50.90909,46.66667,56.36364,59.39394,102.4242,61.81818,222.4242,103.6364,62.42424,104.2424,128.4848,124.8485,60,15.15152,41.81818
"01037","05000US01037","Coosa County","Coosa County, Alabama","al","050","00","ACSSF","0000031",,,,,"01","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8230,127,0,0,0,20,4,14,22,47,140,94,231,351,359,266,2614,564,481,1399,544,706,226,21,0,54.54546,55.15152,11.51515,11.51515,11.51515,21.21212,5.454545,10.90909,20,22.42424,59.39394,40,61.81818,101.2121,73.93939,56.36364,184.2424,83.0303,92.72727,136.9697,89.69697,92.72727,50.90909,13.33333,11.51515
"01039","05000US01039","Covington County","Covington County, Alabama","al","050","00","ACSSF","0000032",,,,,"01","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26438,284,0,0,8,17,38,61,122,216,331,581,680,973,856,363,7698,1670,2051,3870,2667,2539,1063,257,93,53.93939,58.18182,15.15152,15.15152,5.454545,10.90909,23.63636,26.66667,39.39394,62.42424,77.57576,83.0303,76.36364,101.8182,120.6061,58.18182,257.5757,142.4242,155.7576,204.8485,172.1212,162.4242,101.2121,50.90909,31.51515
"01041","05000US01041","Crenshaw County","Crenshaw County, Alabama","al","050","00","ACSSF","0000033",,,,,"01","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9675,219,0,0,17,0,0,37,17,128,217,172,151,413,468,252,3173,580,478,1196,652,1100,348,35,22,57.57576,64.24242,11.51515,11.51515,10.90909,11.51515,11.51515,18.78788,9.090909,44.84848,50.30303,38.18182,35.75758,65.45454,73.93939,46.06061,169.0909,88.48485,67.87878,97.57576,55.75758,98.78788,48.48485,20,9.69697
"01043","05000US01043","Cullman County","Cullman County, Alabama","al","050","00","ACSSF","0000034",,,,,"01","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57212,747,9,13,0,39,57,27,34,780,437,1038,1386,2280,2114,1444,16451,3931,4290,8274,5995,5047,2076,572,171,120,115.7576,8.484848,11.51515,16.9697,27.27273,24.84848,15.15152,20,147.8788,90.90909,129.697,152.1212,238.7879,218.1818,169.0909,493.3333,281.8182,311.5151,392.1212,318.1818,302.4243,171.5152,98.18182,56.9697
"01045","05000US01045","Dale County","Dale County, Alabama","al","050","00","ACSSF","0000035",,,,,"01","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33382,457,0,0,0,0,59,83,66,227,199,426,504,830,1219,662,8518,2406,2556,6164,3316,3739,1548,263,140,67.27273,94.54546,15.15152,15.15152,15.15152,15.15152,29.09091,37.57576,26.06061,50.30303,47.87879,65.45454,68.48485,96.9697,156.3636,112.1212,303.6364,187.2727,202.4242,285.4546,202.4242,195.7576,146.6667,52.72727,37.57576
"01047","05000US01047","Dallas County","Dallas County, Alabama","al","050","00","ACSSF","0000036",,,,,"01","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26600,356,0,8,0,4,31,52,61,206,201,194,580,1344,1480,618,7951,1417,1103,4243,2730,2300,1362,263,96,57.57576,76.36364,15.15152,8.484848,15.15152,4.848485,17.57576,25.45455,38.18182,59.39394,52.72727,59.39394,98.18182,158.7879,138.1818,86.66666,339.394,183.6364,112.1212,288.4849,199.3939,167.8788,169.0909,56.36364,32.72727
"01049","05000US01049","DeKalb County","DeKalb County, Alabama","al","050","00","ACSSF","0000037",,,,,"01","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47876,1256,0,0,82,127,295,159,377,988,801,1677,1947,1972,1601,1112,12499,3457,3078,5838,4525,3557,1822,433,273,75.15151,222.4242,16.9697,16.9697,46.66667,63.0303,100.6061,59.39394,100.6061,161.8182,127.2727,233.9394,212.7273,192.1212,181.8182,164.8485,382.4243,264.8485,254.5455,338.7879,292.7273,286.6667,158.1818,70.30303,76.36364
"01051","05000US01051","Elmore County","Elmore County, Alabama","al","050","00","ACSSF","0000038",,,,,"01","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55759,420,4,8,10,7,15,42,101,317,609,900,1154,1488,1589,930,14000,4304,2983,8000,5214,8948,3589,647,480,76.36364,93.93939,3.030303,9.090909,12.72727,9.090909,12.72727,23.0303,56.36364,72.72727,150.303,145.4545,152.1212,207.2727,204.8485,140,455.7576,315.1515,211.5152,404.8485,338.7879,381.2121,264.8485,98.18182,100.6061
"01053","05000US01053","Escambia County","Escambia County, Alabama","al","050","00","ACSSF","0000039",,,,,"01","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25965,251,0,0,0,58,60,31,54,35,122,619,850,1171,936,605,9326,2220,1274,3222,1844,2079,951,150,107,90.90909,67.27273,15.15152,15.15152,15.15152,46.66667,41.21212,24.24242,24.84848,13.33333,26.66667,103.6364,124.2424,147.2727,138.7879,105.4545,382.4243,197.5758,137.5758,274.5454,171.5152,172.7273,93.33334,56.36364,27.87879
"01055","05000US01055","Etowah County","Etowah County, Alabama","al","050","00","ACSSF","0000040",,,,,"01","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71995,981,7,18,0,97,187,153,256,500,442,1001,1629,2536,1846,1494,18526,5139,4976,13040,6400,7837,3483,992,455,81.21212,138.1818,6.060606,11.51515,16.9697,56.9697,56.9697,44.84848,81.81818,91.51515,89.09091,183.0303,167.2727,205.4545,166.0606,149.0909,456.3636,276.3636,263.6364,486.0606,320,420.606,223.0303,143.6364,120.6061
"01057","05000US01057","Fayette County","Fayette County, Alabama","al","050","00","ACSSF","0000041",,,,,"01","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11717,186,0,8,0,24,13,31,10,30,194,277,237,318,500,232,3863,1005,904,1582,787,1070,369,37,40,70.30303,44.24242,11.51515,9.090909,11.51515,16.36364,9.69697,19.39394,7.272727,12.12121,58.18182,61.21212,56.9697,67.27273,111.5152,48.48485,189.0909,110.9091,115.1515,156.3636,106.6667,118.7879,72.72727,18.18182,30.90909
"01059","05000US01059","Franklin County","Franklin County, Alabama","al","050","00","ACSSF","0000042",,,,,"01","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20812,526,0,0,36,0,156,204,67,689,215,552,554,864,544,428,6383,1283,1252,2648,1732,1624,850,90,115,100.6061,122.4242,15.15152,15.15152,24.24242,15.15152,78.18182,87.87878,33.93939,160,67.87878,107.8788,90.30303,110.9091,115.7576,73.93939,313.9394,133.9394,152.7273,228.4848,201.8182,165.4545,132.7273,29.09091,40
"01061","05000US01061","Geneva County","Geneva County, Alabama","al","050","00","ACSSF","0000043",,,,,"01","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18598,213,0,0,0,21,87,153,40,158,167,556,456,848,781,411,5521,1403,1265,2678,1777,1298,685,77,3,56.36364,45.45454,13.33333,13.33333,13.33333,15.75758,50.30303,64.84849,18.18182,47.27273,54.54546,121.2121,76.36364,129.697,119.3939,69.69697,266.0606,129.697,127.8788,198.7879,173.9394,133.3333,115.1515,25.45455,2.424242
"01063","05000US01063","Greene County","Greene County, Alabama","al","050","00","ACSSF","0000044",,,,,"01","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5833,138,0,0,0,0,4,12,22,113,101,158,166,103,428,161,2015,134,232,1020,437,371,151,17,50,66.06061,69.69697,10.30303,10.30303,10.30303,10.30303,5.454545,11.51515,19.39394,55.75758,45.45454,79.39394,60,46.06061,108.4848,46.66667,187.8788,44.24242,60,184.8485,109.0909,71.51515,56.36364,16.36364,40
"01065","05000US01065","Hale County","Hale County, Alabama","al","050","00","ACSSF","0000045",,,,,"01","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10071,199,0,0,0,0,12,27,16,4,79,121,292,278,521,98,3542,750,508,1446,757,936,308,135,42,0,41.81818,11.51515,11.51515,11.51515,11.51515,11.51515,17.57576,9.69697,3.636364,28.48485,29.09091,53.33333,56.9697,83.0303,31.51515,176.9697,126.6667,75.75758,110.9091,98.18182,112.1212,58.18182,46.06061,16.9697
"01067","05000US01067","Henry County","Henry County, Alabama","al","050","00","ACSSF","0000046",,,,,"01","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12167,281,0,0,24,0,26,61,24,106,86,176,418,487,470,253,3444,637,824,1734,929,1300,718,130,39,76.36364,78.78788,11.51515,11.51515,16.36364,11.51515,13.93939,31.51515,15.75758,29.69697,26.66667,43.63636,83.0303,76.36364,88.48485,54.54546,195.7576,93.33334,118.1818,163.0303,100.6061,141.8182,104.2424,34.54546,14.54545
"01069","05000US01069","Houston County","Houston County, Alabama","al","050","00","ACSSF","0000047",,,,,"01","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71698,987,15,4,19,29,72,78,183,280,429,799,1509,2034,2282,1541,18605,4075,4736,12257,6688,9505,4015,1101,455,24.84848,83.0303,4.848485,2.424242,9.090909,10.90909,14.54545,22.42424,35.15152,36.9697,52.72727,94.54546,83.63636,127.2727,122.4242,85.45454,315.7576,134.5455,150.303,246.0606,194.5455,216.9697,155.7576,72.72727,49.09091
"01071","05000US01071","Jackson County","Jackson County, Alabama","al","050","00","ACSSF","0000048",,,,,"01","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37225,528,0,2,14,0,88,68,96,283,351,716,690,1598,1320,772,11901,3280,1924,4861,3453,3450,1402,159,269,58.78788,98.18182,16.9697,2.424242,9.090909,16.9697,32.72727,32.12121,37.57576,60,73.93939,101.8182,92.12122,142.4242,146.6667,113.9394,380,229.697,155.1515,273.9394,239.3939,257.5757,161.8182,44.84848,87.27273
"01073","05000US01073","Jefferson County","Jefferson County, Alabama","al","050","00","ACSSF","0000049",,,,,"01","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448732,3745,48,39,74,58,534,305,607,2488,1724,3856,5213,8428,11262,7644,102807,17230,24580,75481,37147,88777,35007,13882,7796,61.21212,269.0909,27.27273,24.84848,33.33333,28.48485,104.8485,57.57576,106.0606,284.8485,211.5152,285.4546,352.1212,392.1212,438.7879,366.0606,1329.697,543.6364,664.8485,1310.909,806.0606,1160.606,761.8182,550.9091,346.6667
"01075","05000US01075","Lamar County","Lamar County, Alabama","al","050","00","ACSSF","0000050",,,,,"01","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9893,88,0,1,11,10,5,21,38,67,95,369,290,314,307,125,3259,691,567,1495,905,823,360,26,26,56.9697,31.51515,11.51515,1.212121,9.69697,10.30303,5.454545,14.54545,13.93939,24.84848,33.33333,71.51515,68.48485,54.54546,72.72727,49.09091,167.8788,108.4848,88.48485,156.3636,124.2424,102.4242,101.2121,12.72727,13.33333
"01077","05000US01077","Lauderdale County","Lauderdale County, Alabama","al","050","00","ACSSF","0000051",,,,,"01","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63429,647,9,29,42,35,77,14,46,198,336,1074,1506,1703,1424,839,19101,3711,3848,9488,4117,9403,4326,681,775,161.8182,86.06061,9.69697,21.21212,25.45455,32.12121,45.45454,9.69697,24.84848,52.12121,74.54546,124.2424,189.697,189.697,178.1818,109.0909,491.5151,249.0909,221.8182,428.4849,281.2121,404.2424,270.303,110.9091,101.2121
"01079","05000US01079","Lawrence County","Lawrence County, Alabama","al","050","00","ACSSF","0000052",,,,,"01","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23395,391,0,0,64,6,26,88,59,128,326,460,824,897,1019,631,8112,1598,1162,3199,1667,1795,816,88,39,93.33334,83.0303,15.15152,15.15152,32.72727,6.060606,19.39394,39.39394,21.81818,33.33333,101.2121,86.06061,128.4848,118.7879,136.9697,108.4848,355.7576,163.0303,123.6364,199.3939,146.0606,206.6667,126.6667,29.69697,15.75758
"01081","05000US01081","Lee County","Lee County, Alabama","al","050","00","ACSSF","0000053",,,,,"01","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94988,1146,0,0,0,33,121,177,129,200,326,651,1328,1400,2343,1195,18316,4539,6053,16113,8541,18645,9311,1825,2596,64.24242,175.1515,16.9697,16.9697,16.9697,29.69697,63.63636,76.9697,45.45454,63.0303,94.54546,110.303,177.5758,195.7576,267.2727,186.0606,579.3939,303.6364,346.6667,716.3636,423.6364,653.3333,450.303,179.3939,199.3939
"01083","05000US01083","Limestone County","Limestone County, Alabama","al","050","00","ACSSF","0000054",,,,,"01","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64294,934,0,6,12,35,136,54,275,516,633,1127,1633,2103,1810,849,14980,4483,3762,9783,4796,10857,4363,626,521,143.0303,169.697,16.9697,8.484848,9.69697,15.15152,61.81818,24.84848,69.69697,109.0909,182.4242,169.697,187.8788,215.7576,176.9697,151.5152,540.6061,304.8485,278.7879,434.5454,338.1818,492.7273,281.8182,95.75758,89.69697
